dzajro@gmail.com;136;2.10.2025;Izdavanje knjige: Preobražaj
dzoni@gmail.com;480;2.10.2025;
lusi@gmail.com;2500;2.10.2025;
suguru@gmail.com;600;2.10.2025;
klark@gmail.com;420;2.10.2025;
dzajro@gmail.com;3000;2.10.2025;
dzoni@gmail.com;520;2.9.2025;
dzoni@gmail.com;740;2.8.2025;
dzoni@gmail.com;967;2.7.2025;
dzoni@gmail.com;1345;2.6.2025;
dzoni@gmail.com;320;2.5.2025;
dzoni@gmail.com;667;2.4.2025;
dzoni@gmail.com;456;2.3.2025;
dzoni@gmail.com;765;2.2.2025;
dzoni@gmail.com;480;2.1.2025;
dzoni@gmail.com;480;2.12.2024;
dzajro@gmail.com;3000;2.10.2024;
lusi@gmail.com;2500;2.10.2024;
dzajro@gmail.com;723;2.9.2025;
dzajro@gmail.com;350;2.8.2025;
dzajro@gmail.com;1203;2.7.2025;
dzajro@gmail.com;657;2.6.2025;
dzajro@gmail.com;888;2.5.2025;
dzajro@gmail.com;922;2.4.2025;
dzajro@gmail.com;1503;2.3.2025;
dzajro@gmail.com;230;2.2.2025;
dzajro@gmail.com;222;2.1.2025;
dzajro@gmail.com;182;2.12.2024;
dzajro@gmail.com;823;2.11.2024;
suguru@gmail.com;700;2.9.2025;
suguru@gmail.com;600;2.8.2025;
suguru@gmail.com;750;2.7.2025;
suguru@gmail.com;800;2.6.2025;
suguru@gmail.com;600;2.5.2025;
suguru@gmail.com;1200;2.4.2025;
suguru@gmail.com;600;2.3.2025;
suguru@gmail.com;350;2.2.2025;
suguru@gmail.com;700;2.1.2025;
suguru@gmail.com;600;2.12.2024;
suguru@gmail.com;200;2.11.2024;
lusi@gmail.com;200;2.9.2025;
lusi@gmail.com;150;2.8.2025;
lusi@gmail.com;300;2.7.2025;
lusi@gmail.com;350;2.6.2025;
lusi@gmail.com;530;2.5.2025;
lusi@gmail.com;100;2.4.2025;
lusi@gmail.com;20;2.3.2025;
lusi@gmail.com;10;2.2.2025;
lusi@gmail.com;12;2.1.2025;
lusi@gmail.com;205;2.12.2024;
lusi@gmail.com;130;2.11.2024;
klark@gmail.com;420;2.9.2025;
klark@gmail.com;500;2.8.2025;
klark@gmail.com;450;2.7.2025;
klark@gmail.com;420;2.6.2025;
klark@gmail.com;550;2.5.2025;
klark@gmail.com;420;2.4.2025;
klark@gmail.com;460;2.3.2025;
klark@gmail.com;670;2.2.2025;
klark@gmail.com;420;2.1.2025;
klark@gmail.com;420;2.12.2024;
klark@gmail.com;800;2.11.2024;
klark@gmail.com;420;2.10.2024;
meri@gmail.com;480,00;2025-10-02
klark@gmail.com;170,00;2025-10-02;Izdavanje knjige: Vatra i ništa
